"route_uid","route_id","has_sub_routes","operator_id","operator_name_zh","operator_name_en","authority_id","provider_id","sub_route_uid","sub_route_id","sub_route_name_zh","sub_route_name_en","headsign","headsign_en","direction","first_bus_time","last_bus_time","holiday_first_bus_time","holiday_last_bus_time","bus_route_type","route_name_zh","route_name_en","departure_stop_name_zh","departure_stop_name_en","destination_stop_name_zh","destination_stop_name_en","ticket_price_description_zh","ticket_price_description_en","fare_buffer_zone_description_zh","fare_buffer_zone_description_en","route_map_image_url","city","city_code","SrcUpdateTime","UpdateTime","InfoTime","InfoDate"
KHH8582,"8582",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8582,"8582",紅58C(學校寒暑假停駛),Red58C,捷運都會公園站－楠梓高中,,1,,,,,11,紅58C(學校寒暑假停駛),Red58C,捷運都會公園站,MRT Kaohsiung Metropolitan Park Station,楠梓高中,Nan Zih Senior High School,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH859,"859",1,"10360",港都客運,"Great-City-Life Bus Co., Ltd.","009","009",KHH859,"859",紅59,Red59,高鐵左營站－蓮池潭,,0,,,,,11,紅59,Red59,高鐵左營站,HSR Zuoying Station,蓮池潭,Lotus Pond,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH86,"86",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH86,"86",JOY公車H22,Medical Shuttle Bus H22,那瑪夏區－旗山南站－義大醫院－長庚醫院,,0,,,,,11,JOY公車H22,Medical Shuttle Bus H22,那瑪夏,Namasia,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH86,"86",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH86,"86",JOY公車H22,Medical Shuttle Bus H22,那瑪夏區－旗山南站－義大醫院－長庚醫院,,1,,,,,11,JOY公車H22,Medical Shuttle Bus H22,那瑪夏,Namasia,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH860,"860",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH860,"860",紅60A,Red60A,左營高鐵站－仁武區公所,,0,,,,,11,紅60A,Red60A,左營高鐵站,Taiwan High Speed Rail Corporation,仁德街口(中華路),Rende St. Intersection (Jhonghua Rd.),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH860,"860",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH860,"860",紅60A,Red60A,左營高鐵站－仁武區公所,,1,,,,,11,紅60A,Red60A,左營高鐵站,Taiwan High Speed Rail Corporation,仁德街口(中華路),Rende St. Intersection (Jhonghua Rd.),,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8601,"8601",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8601,"8601",紅60B,Red60B,左營高鐵站－加昌站,,0,,,,,11,紅60B,Red60B,左營高鐵站,Taiwan High Speed Rail Corporation,加昌站,Jiachang Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH8601,"8601",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH8601,"8601",紅60B,Red60B,左營高鐵站－加昌站,,1,,,,,11,紅60B,Red60B,左營高鐵站,Taiwan High Speed Rail Corporation,加昌站,Jiachang Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH861,"861",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH861,"861",紅61,Red61,高鐵左營站－長庚醫院,,0,,,,,11,紅61,Red61,高鐵左營站,THSR Zuoying Station,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH861,"861",1,"10310",南台灣客運,"South Taiwan Bus Co., Ltd.","009","009",KHH861,"861",紅61,Red61,高鐵左營站－長庚醫院,,1,,,,,11,紅61,Red61,高鐵左營站,THSR Zuoying Station,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH865,"865",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH865,"865",紅65(原 紅68C(週一~週五延駛燁聯鋼鐵)),Red65(Extend Ye Lian Iron and Steel),捷運南岡山站－燁聯鋼鐵,,0,,,,,11,紅65(原 紅68C(週一~週五延駛燁聯鋼鐵)),Red65(Extend Ye Lian Iron and Steel),捷運南岡山站,MRT South Of Gangshan Station,燁聯鋼鐵,Ye Lian Gang Tie,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
