TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R13,凹子底站,20210622 11:45:00,13,8
一般,捷運,R13,凹子底站,20210622 12:00:00,6,6
一般,捷運,R13,凹子底站,20210622 12:15:00,7,9
一般,捷運,R13,凹子底站,20210622 12:30:00,10,9
一般,捷運,R13,凹子底站,20210622 12:45:00,11,13
一般,捷運,R13,凹子底站,20210622 13:00:00,7,6
一般,捷運,R13,凹子底站,20210622 13:15:00,7,15
一般,捷運,R13,凹子底站,20210622 13:30:00,9,6
一般,捷運,R13,凹子底站,20210622 13:45:00,8,12
一般,捷運,R13,凹子底站,20210622 14:00:00,8,6
一般,捷運,R13,凹子底站,20210622 14:15:00,10,14
一般,捷運,R13,凹子底站,20210622 14:30:00,7,11
一般,捷運,R13,凹子底站,20210622 14:45:00,15,20
一般,捷運,R13,凹子底站,20210622 15:00:00,15,8
一般,捷運,R13,凹子底站,20210622 15:15:00,11,10
一般,捷運,R13,凹子底站,20210622 15:30:00,13,8
一般,捷運,R13,凹子底站,20210622 15:45:00,10,9
一般,捷運,R13,凹子底站,20210622 16:00:00,17,8
一般,捷運,R13,凹子底站,20210622 16:15:00,9,15
一般,捷運,R13,凹子底站,20210622 16:30:00,14,15
一般,捷運,R13,凹子底站,20210622 16:45:00,15,14
一般,捷運,R13,凹子底站,20210622 17:00:00,29,26
一般,捷運,R13,凹子底站,20210622 17:15:00,22,38
一般,捷運,R13,凹子底站,20210622 17:30:00,36,42
一般,捷運,R13,凹子底站,20210622 17:45:00,42,37
一般,捷運,R13,凹子底站,20210622 18:00:00,41,51
一般,捷運,R13,凹子底站,20210622 18:15:00,47,42
一般,捷運,R13,凹子底站,20210622 18:30:00,26,43
一般,捷運,R13,凹子底站,20210622 18:45:00,18,33
一般,捷運,R13,凹子底站,20210622 19:00:00,23,23
一般,捷運,R13,凹子底站,20210622 19:15:00,12,21
一般,捷運,R13,凹子底站,20210622 19:30:00,19,16
一般,捷運,R13,凹子底站,20210622 19:45:00,21,11
一般,捷運,R13,凹子底站,20210622 20:00:00,25,15
一般,捷運,R13,凹子底站,20210622 20:15:00,10,7
一般,捷運,R13,凹子底站,20210622 20:30:00,5,12
一般,捷運,R13,凹子底站,20210622 20:45:00,6,2
一般,捷運,R13,凹子底站,20210622 21:00:00,10,12
一般,捷運,R13,凹子底站,20210622 21:15:00,11,2
一般,捷運,R13,凹子底站,20210622 21:30:00,3,7
一般,捷運,R13,凹子底站,20210622 21:45:00,6,6
一般,捷運,R13,凹子底站,20210622 22:00:00,6,5
一般,捷運,R13,凹子底站,20210622 22:15:00,6,3
一般,捷運,R13,凹子底站,20210622 22:30:00,7,8
一般,捷運,R13,凹子底站,20210622 22:45:00,1,3
一般,捷運,R13,凹子底站,20210622 23:00:00,1,3
一般,捷運,R13,凹子底站,20210622 23:15:00,1,0
一般,捷運,R12,後驛站,20210622 05:30:00,1,0
一般,捷運,R12,後驛站,20210622 05:45:00,9,1
一般,捷運,R12,後驛站,20210622 06:00:00,11,3
一般,捷運,R12,後驛站,20210622 06:15:00,23,9
一般,捷運,R12,後驛站,20210622 06:30:00,36,8
一般,捷運,R12,後驛站,20210622 06:45:00,46,13
一般,捷運,R12,後驛站,20210622 07:00:00,47,28
一般,捷運,R12,後驛站,20210622 07:15:00,47,34
一般,捷運,R12,後驛站,20210622 07:30:00,51,73
一般,捷運,R12,後驛站,20210622 07:45:00,45,39
一般,捷運,R12,後驛站,20210622 08:00:00,33,45
一般,捷運,R12,後驛站,20210622 08:15:00,21,52
一般,捷運,R12,後驛站,20210622 08:30:00,17,45
一般,捷運,R12,後驛站,20210622 08:45:00,11,16
一般,捷運,R12,後驛站,20210622 09:00:00,16,35
一般,捷運,R12,後驛站,20210622 09:15:00,10,20
一般,捷運,R12,後驛站,20210622 09:30:00,12,23
一般,捷運,R12,後驛站,20210622 09:45:00,28,18
一般,捷運,R12,後驛站,20210622 10:00:00,11,16
一般,捷運,R12,後驛站,20210622 10:15:00,6,8
一般,捷運,R12,後驛站,20210622 10:30:00,9,15
一般,捷運,R12,後驛站,20210622 10:45:00,25,11
一般,捷運,R12,後驛站,20210622 11:00:00,17,10
一般,捷運,R12,後驛站,20210622 11:15:00,14,5
一般,捷運,R12,後驛站,20210622 11:30:00,11,17
一般,捷運,R12,後驛站,20210622 11:45:00,13,8
一般,捷運,R12,後驛站,20210622 12:00:00,13,24
一般,捷運,R12,後驛站,20210622 12:15:00,8,6
一般,捷運,R12,後驛站,20210622 12:30:00,14,14
一般,捷運,R12,後驛站,20210622 12:45:00,7,11
一般,捷運,R12,後驛站,20210622 13:00:00,17,18
一般,捷運,R12,後驛站,20210622 13:15:00,14,5
一般,捷運,R12,後驛站,20210622 13:30:00,12,17
一般,捷運,R12,後驛站,20210622 13:45:00,9,7
一般,捷運,R12,後驛站,20210622 14:00:00,14,15
一般,捷運,R12,後驛站,20210622 14:15:00,12,5
一般,捷運,R12,後驛站,20210622 14:30:00,22,12
一般,捷運,R12,後驛站,20210622 14:45:00,13,15
一般,捷運,R12,後驛站,20210622 15:00:00,13,13
一般,捷運,R12,後驛站,20210622 15:15:00,14,7
一般,捷運,R12,後驛站,20210622 15:30:00,19,19
一般,捷運,R12,後驛站,20210622 15:45:00,14,12
一般,捷運,R12,後驛站,20210622 16:00:00,12,21
一般,捷運,R12,後驛站,20210622 16:15:00,22,15
一般,捷運,R12,後驛站,20210622 16:30:00,23,18
一般,捷運,R12,後驛站,20210622 16:45:00,12,11
一般,捷運,R12,後驛站,20210622 17:00:00,19,33
一般,捷運,R12,後驛站,20210622 17:15:00,33,38
一般,捷運,R12,後驛站,20210622 17:30:00,36,34
一般,捷運,R12,後驛站,20210622 17:45:00,74,52
一般,捷運,R12,後驛站,20210622 18:00:00,54,64
一般,捷運,R12,後驛站,20210622 18:15:00,54,46
一般,捷運,R12,後驛站,20210622 18:30:00,39,39
一般,捷運,R12,後驛站,20210622 18:45:00,31,26
一般,捷運,R12,後驛站,20210622 19:00:00,24,25
一般,捷運,R12,後驛站,20210622 19:15:00,16,28
一般,捷運,R12,後驛站,20210622 19:30:00,9,19
一般,捷運,R12,後驛站,20210622 19:45:00,10,18
一般,捷運,R12,後驛站,20210622 20:00:00,13,36
一般,捷運,R12,後驛站,20210622 20:15:00,7,10
一般,捷運,R12,後驛站,20210622 20:30:00,11,21
一般,捷運,R12,後驛站,20210622 20:45:00,4,4
一般,捷運,R12,後驛站,20210622 21:00:00,5,13
一般,捷運,R12,後驛站,20210622 21:15:00,3,6
